year,commodity,area_harvested_ha,production_tonnes,yield_kg_per_ha,source
1992,Rice,50000.0,68000.0,1360.0,FAOSTAT
1993,Beans (dry),552000.0,428000.0,775.4,FAOSTAT
1993,Cassava,369000.0,3139000.0,8506.8,FAOSTAT
1993,Groundnuts,187000.0,153000.0,818.2,FAOSTAT
1993,Maize,503000.0,804000.0,1598.4,FAOSTAT
1993,Rice,53000.0,74000.0,1396.2,FAOSTAT
1994,Beans (dry),574000.0,378000.0,658.5,FAOSTAT
1994,Cassava,320000.0,2080000.0,6500.0,FAOSTAT
1994,Groundnuts,189000.0,142000.0,751.3,FAOSTAT
1994,Maize,563000.0,850000.0,1509.8,FAOSTAT
1994,Rice,55000.0,77000.0,1400.0,FAOSTAT
1995,Beans (dry),600000.0,390000.0,650.0,FAOSTAT
1995,Cassava,332000.0,2224000.0,6698.8,FAOSTAT
1995,Groundnuts,192000.0,144000.0,750.0,FAOSTAT
1995,Maize,571000.0,913000.0,1598.9,FAOSTAT
1995,Rice,55000.0,77000.0,1400.0,FAOSTAT
1996,Beans (dry),615000.0,234000.0,380.5,FAOSTAT
1996,Cassava,335000.0,2245000.0,6701.5,FAOSTAT
1996,Groundnuts,195000.0,125000.0,641.0,FAOSTAT
1996,Maize,584000.0,759000.0,1299.7,FAOSTAT
1996,Rice,58000.0,82000.0,1413.8,FAOSTAT
1997,Beans (dry),630000.0,221000.0,350.8,FAOSTAT
1997,Cassava,342000.0,2291000.0,6698.8,FAOSTAT
1997,Groundnuts,197000.0,134000.0,680.2,FAOSTAT
1997,Maize,598000.0,740000.0,1237.5,FAOSTAT
1997,Rice,60000.0,80000.0,1333.3,FAOSTAT
1998,Beans (dry),645000.0,387000.0,600.0,FAOSTAT
1998,Cassava,356000.0,3204000.0,9000.0,FAOSTAT
1998,Groundnuts,200000.0,140000.0,700.0,FAOSTAT
1998,Maize,616000.0,924000.0,1500.0,FAOSTAT
1998,Rice,64000.0,90000.0,1406.3,FAOSTAT
1999,Beans (dry),669000.0,401000.0,599.4,FAOSTAT
1999,Cassava,375000.0,4875000.0,13000.0,FAOSTAT
1999,Groundnuts,196000.0,137000.0,699.0,FAOSTAT
1999,Maize,608000.0,1053000.0,1731.9,FAOSTAT
1999,Rice,68000.0,95000.0,1397.1,FAOSTAT
2000,Beans (dry),699000.0,420000.0,600.9,FAOSTAT
2000,Cassava,401000.0,4966000.0,12384.0,FAOSTAT
2000,Groundnuts,199000.0,139000.0,698.5,FAOSTAT
2000,Maize,629000.0,1096000.0,1742.4,FAOSTAT
2000,Rice,72000.0,109000.0,1513.9,FAOSTAT
2001,Beans (dry),731000.0,511000.0,699.0,FAOSTAT
2001,Cassava,390000.0,5265000.0,13500.0,FAOSTAT
2001,Groundnuts,208000.0,146000.0,701.9,FAOSTAT
2001,Maize,652000.0,1174000.0,1800.6,FAOSTAT
2001,Rice,76000.0,114000.0,1500.0,FAOSTAT
2002,Beans (dry),765000.0,535000.0,699.3,FAOSTAT
2002,Cassava,398000.0,5373000.0,13500.0,FAOSTAT
2002,Groundnuts,211000.0,148000.0,701.4,FAOSTAT
2002,Maize,676000.0,1217000.0,1800.3,FAOSTAT
2002,Rice,80000.0,120000.0,1500.0,FAOSTAT
2003,Beans (dry),780000.0,525000.0,673.1,FAOSTAT
2003,Cassava,405000.0,5450000.0,13456.8,FAOSTAT
2003,Groundnuts,216000.0,220000.0,1018.5,FAOSTAT
2003,Maize,710000.0,1300000.0,1831.0,FAOSTAT
2003,Rice,86000.0,132000.0,1534.9,FAOSTAT
2004,Beans (dry),812000.0,455000.0,560.3,FAOSTAT
2004,Cassava,407000.0,5500000.0,13513.5,FAOSTAT
2004,Groundnuts,221000.0,221000.0,1000.0,FAOSTAT
2004,Maize,750000.0,1080000.0,1440.0,FAOSTAT
2004,Rice,93000.0,121000.0,1301.1,FAOSTAT
2005,Beans (dry),828000.0,478000.0,577.3,FAOSTAT
2005,Cassava,387000.0,5576000.0,14408.3,FAOSTAT
2005,Groundnuts,225000.0,225000.0,1000.0,FAOSTAT
2005,Maize,780000.0,1237000.0,1585.9,FAOSTAT
2005,Rice,102000.0,153000.0,1500.0,FAOSTAT
2006,Beans (dry),849000.0,424000.0,499.4,FAOSTAT
2006,Cassava,379000.0,4926000.0,12997.4,FAOSTAT
2006,Groundnuts,230000.0,230000.0,1000.0,FAOSTAT
2006,Maize,819000.0,1258029.0,1536.1,FAOSTAT
2006,Rice,113000.0,154000.0,1362.8,FAOSTAT
2007,Beans (dry),870000.0,435000.0,500.0,FAOSTAT
2007,Cassava,386000.0,4973000.0,12883.4,FAOSTAT
2007,Groundnuts,235000.0,235000.0,1000.0,FAOSTAT
2007,Maize,844000.0,1261803.0,1495.0,FAOSTAT
2007,Rice,119000.0,162000.0,1361.3,FAOSTAT
2008,Beans (dry),651000.0,912000.0,1400.9,FAOSTAT
2008,Cassava,398000.0,2875619.0,7225.2,FAOSTAT
2008,Groundnuts,280000.0,229636.0,820.1,FAOSTAT
2008,Maize,1052000.0,2314909.0,2200.5,FAOSTAT
2008,Rice,128000.0,177857.0,1389.5,FAOSTAT
2009,Beans (dry),616000.0,925000.0,1501.6,FAOSTAT
2009,Cassava,411000.0,2952171.0,7182.9,FAOSTAT
2009,Groundnuts,369000.0,257967.0,699.1,FAOSTAT
2009,Maize,942000.0,2354664.0,2499.6,FAOSTAT
2009,Rice,86000.0,205765.0,2392.6,FAOSTAT
2010,Beans (dry),633000.0,949000.0,1499.2,FAOSTAT
2010,Cassava,490819.0,3017118.0,6147.1,FAOSTAT
2010,Groundnuts,394000.0,275767.0,699.9,FAOSTAT
2010,Maize,1032000.0,2373501.0,2299.9,FAOSTAT
2010,Rice,87000.0,218111.0,2507.0,FAOSTAT
2011,Beans (dry),653889.0,915445.0,1400.0,FAOSTAT
2011,Cassava,552214.0,2712000.0,4911.1,FAOSTAT
2011,Groundnuts,409000.0,327000.0,799.5,FAOSTAT
2011,Maize,1062960.0,2551000.0,2399.9,FAOSTAT
2011,Rice,90000.0,233000.0,2588.9,FAOSTAT
2012,Beans (dry),669000.0,869607.0,1299.9,FAOSTAT
2012,Cassava,851000.0,2806000.0,3297.3,FAOSTAT
2012,Groundnuts,421000.0,295000.0,700.7,FAOSTAT
2012,Maize,1093786.0,2734000.0,2499.6,FAOSTAT
2012,Rice,92000.0,212000.0,2304.3,FAOSTAT
2013,Beans (dry),672273.0,941182.0,1400.0,FAOSTAT
2013,Cassava,851000.0,2979000.0,3500.6,FAOSTAT
2013,Groundnuts,422000.0,295305.86,699.8,FAOSTAT
2013,Maize,1101453.0,2748000.0,2494.9,FAOSTAT
2013,Rice,93000.0,214000.0,2301.1,FAOSTAT
2014,Beans (dry),674290.0,1011435.0,1500.0,FAOSTAT
2014,Cassava,852000.0,2812721.0,3301.3,FAOSTAT
2014,Groundnuts,422300.0,295601.17,700.0,FAOSTAT
2014,Maize,1103185.0,2868000.0,2599.7,FAOSTAT
2014,Rice,95000.0,237008.0,2494.8,FAOSTAT
2015,Beans (dry),674964.0,1079943.0,1600.0,FAOSTAT
2015,Cassava,852340.0,2727487.0,3200.0,FAOSTAT
2015,Groundnuts,428000.0,295897.0,691.3,FAOSTAT
2015,Maize,1125168.0,2812919.0,2500.0,FAOSTAT
2015,Rice,95277.0,238193.0,2500.0,FAOSTAT
2016,Beans (dry),483337.0,809640.0,1675.1,FAOSTAT
2016,Cassava,1029409.0,2728988.0,2651.0,FAOSTAT
2016,Groundnuts,423000.0,274844.0,649.7,FAOSTAT
2016,Maize,1156035.0,2482795.0,2147.7,FAOSTAT
2016,Rice,106929.0,214910.0,2009.8,FAOSTAT
2017,Beans (dry),588185.0,1012406.0,1721.2,FAOSTAT
2017,Cassava,1218614.0,2729260.0,2239.6,FAOSTAT
2017,Groundnuts,424000.0,296578.0,699.5,FAOSTAT
2017,Maize,1545635.0,2814490.0,1820.9,FAOSTAT
2017,Rice,119352.0,188674.0,1580.8,FAOSTAT
2018,Beans (dry),543511.0,940323.0,1730.1,FAOSTAT
2018,Cassava,1627887.0,4390231.0,2696.9,FAOSTAT
2018,Groundnuts,286000.0,193236.0,675.7,FAOSTAT
2018,Maize,2480000.0,3442430.0,1388.1,FAOSTAT
2018,Rice,200000.0,199266.0,996.3,FAOSTAT
2019,Beans (dry),546458.0,437000.0,799.7,FAOSTAT
2019,Cassava,965976.0,2660000.0,2753.7,FAOSTAT
2019,Groundnuts,320000.0,133000.0,415.6,FAOSTAT
2019,Maize,1887000.0,2760000.0,1462.6,FAOSTAT
2019,Rice,177000.0,167000.0,943.5,FAOSTAT
2020,Beans (dry),923554.0,786000.0,851.1,FAOSTAT
2020,Cassava,758218.0,2084000.0,2748.5,FAOSTAT
2020,Groundnuts,330000.0,183000.0,554.5,FAOSTAT
2020,Maize,2036000.0,3500000.0,1719.1,FAOSTAT
2020,Rice,221000.0,275000.0,1244.3,FAOSTAT
2021,Beans (dry),963000.0,770000.0,799.6,FAOSTAT
2021,Cassava,992665.0,2257790.0,2274.5,FAOSTAT
2021,Groundnuts,352000.0,136000.0,386.4,FAOSTAT
2021,Maize,1591000.0,3500000.0,2199.9,FAOSTAT
2021,Rice,219000.0,327900.0,1497.3,FAOSTAT
2022,Beans (dry),1034000.0,827000.0,799.8,FAOSTAT
2022,Cassava,1006129.0,2181261.0,2168.0,FAOSTAT
2022,Groundnuts,464000.0,232200.0,500.4,FAOSTAT
2022,Maize,2154000.0,4738000.0,2199.6,FAOSTAT
2022,Rice,231000.0,347000.0,1502.2,FAOSTAT
2023,Beans (dry),897083.0,766000.0,853.9,FAOSTAT
2023,Cassava,901376.0,1865320.17,2069.4,FAOSTAT
2023,Groundnuts,330000.0,221000.0,669.7,FAOSTAT
2023,Maize,2266000.0,4945000.0,2182.3,FAOSTAT
2023,Rice,230000.0,365000.0,1587.0,FAOSTAT
2024,Beans (dry),863246.0,793122.97,918.8,FAOSTAT
2024,Cassava,826544.0,1628999.06,1970.9,FAOSTAT
2024,Groundnuts,330000.0,150000.0,454.5,FAOSTAT
2024,Maize,2300000.0,5000000.0,2173.9,FAOSTAT
2024,Rice,230000.0,300000.0,1304.3,FAOSTAT
