date,year,month,event_category,event_count,fatalities,geographic_level,country,source
2000-06-01,2000,6,demonstrations,0,,national,Uganda,ACLED via HDX
2000-06-01,2000,6,political_violence,20,175.0,national,Uganda,ACLED via HDX
2000-07-01,2000,7,civilian_targeting,8,49.0,national,Uganda,ACLED via HDX
2000-07-01,2000,7,demonstrations,0,,national,Uganda,ACLED via HDX
2000-07-01,2000,7,political_violence,22,218.0,national,Uganda,ACLED via HDX
2000-08-01,2000,8,civilian_targeting,13,47.0,national,Uganda,ACLED via HDX
2000-08-01,2000,8,demonstrations,0,,national,Uganda,ACLED via HDX
2000-08-01,2000,8,political_violence,17,48.0,national,Uganda,ACLED via HDX
2000-09-01,2000,9,civilian_targeting,11,40.0,national,Uganda,ACLED via HDX
2000-09-01,2000,9,demonstrations,0,,national,Uganda,ACLED via HDX
2000-09-01,2000,9,political_violence,19,48.0,national,Uganda,ACLED via HDX
2000-10-01,2000,10,civilian_targeting,5,14.0,national,Uganda,ACLED via HDX
2000-10-01,2000,10,demonstrations,0,,national,Uganda,ACLED via HDX
2000-10-01,2000,10,political_violence,9,22.0,national,Uganda,ACLED via HDX
2000-11-01,2000,11,civilian_targeting,7,12.0,national,Uganda,ACLED via HDX
2000-11-01,2000,11,demonstrations,0,,national,Uganda,ACLED via HDX
2000-11-01,2000,11,political_violence,23,31.0,national,Uganda,ACLED via HDX
2000-12-01,2000,12,civilian_targeting,2,8.0,national,Uganda,ACLED via HDX
2000-12-01,2000,12,demonstrations,1,,national,Uganda,ACLED via HDX
2000-12-01,2000,12,political_violence,6,90.0,national,Uganda,ACLED via HDX
2001-01-01,2001,1,civilian_targeting,3,10.0,national,Uganda,ACLED via HDX
2001-01-01,2001,1,demonstrations,0,,national,Uganda,ACLED via HDX
2001-01-01,2001,1,political_violence,6,27.0,national,Uganda,ACLED via HDX
2001-02-01,2001,2,civilian_targeting,4,0.0,national,Uganda,ACLED via HDX
2001-02-01,2001,2,demonstrations,0,,national,Uganda,ACLED via HDX
2001-02-01,2001,2,political_violence,4,0.0,national,Uganda,ACLED via HDX
2001-03-01,2001,3,civilian_targeting,16,13.0,national,Uganda,ACLED via HDX
2001-03-01,2001,3,demonstrations,1,,national,Uganda,ACLED via HDX
2001-03-01,2001,3,political_violence,30,23.0,national,Uganda,ACLED via HDX
2001-04-01,2001,4,civilian_targeting,6,0.0,national,Uganda,ACLED via HDX
2001-04-01,2001,4,demonstrations,0,,national,Uganda,ACLED via HDX
2001-04-01,2001,4,political_violence,12,15.0,national,Uganda,ACLED via HDX
2001-05-01,2001,5,civilian_targeting,5,8.0,national,Uganda,ACLED via HDX
2001-05-01,2001,5,demonstrations,0,,national,Uganda,ACLED via HDX
2001-05-01,2001,5,political_violence,15,34.0,national,Uganda,ACLED via HDX
2001-06-01,2001,6,civilian_targeting,6,11.0,national,Uganda,ACLED via HDX
2001-06-01,2001,6,demonstrations,3,,national,Uganda,ACLED via HDX
2001-06-01,2001,6,political_violence,11,11.0,national,Uganda,ACLED via HDX
2001-07-01,2001,7,civilian_targeting,1,0.0,national,Uganda,ACLED via HDX
2001-07-01,2001,7,demonstrations,1,,national,Uganda,ACLED via HDX
2001-07-01,2001,7,political_violence,7,11.0,national,Uganda,ACLED via HDX
2001-08-01,2001,8,civilian_targeting,1,0.0,national,Uganda,ACLED via HDX
2001-08-01,2001,8,demonstrations,0,,national,Uganda,ACLED via HDX
2001-08-01,2001,8,political_violence,8,0.0,national,Uganda,ACLED via HDX
2001-09-01,2001,9,civilian_targeting,4,6.0,national,Uganda,ACLED via HDX
2001-09-01,2001,9,demonstrations,0,,national,Uganda,ACLED via HDX
